,Unnamed: 0,key,state,year,confined_population,adult_male,adult_female,juvenile_male,juvenile_female,white_population,black_population,hispanic_population,native_american_population,asian_population,native_hawaiian_pacific_islander_population,two_or_more_race_population,other_population,pct_adult_male,pct_adult_female,pct_juvenile_male,pct_juvenile_female,pct_white,pct_black,pct_hispanic,pct_native_american,pct_asian,pct_native_hawaiian_pacific_islander,pct_two_or_more_races,pct_other
101,101,ID - 2008,ID,2008,2387,1957,421,8,1,1477,42,367,25,11,0,0,0,0.8198575617930457,0.1763720150816925,0.0033514872224549644,0.00041893590280687055,0.6187683284457478,0.01759530791788856,0.15374947633012148,0.010473397570171765,0.004608294930875576,0.0,0.0,0.0
112,112,IL - 2008,IL,2008,16409,14419,1620,353,17,3991,10159,2174,2,25,1,0,0,0.8787250898896947,0.09872630873301236,0.021512584557255163,0.001036016820037784,0.24322018404534096,0.6191114632214029,0.13248826863306726,0.00012188433176915108,0.0015235541471143885,6.094216588457554e-05,0.0,0.0
123,123,IN - 2008,IN,2008,10017,8440,1484,91,2,4741,3359,593,2,15,0,0,0,0.8425676350204652,0.14814814814814814,0.009084556254367573,0.00019966057701906761,0.4732953978236997,0.335329939103524,0.059199361086153535,0.00019966057701906761,0.001497454327643007,0.0,0.0,0.0
134,134,KS - 2008,KS,2008,4130,3561,565,4,0,1984,1456,620,29,41,0,0,0,0.8622276029055691,0.1368038740920097,0.0009685230024213076,0.0,0.4803874092009685,0.3525423728813559,0.15012106537530268,0.0070217917675544795,0.009927360774818402,0.0,0.0,0.0
145,145,KY - 2008,KY,2008,11145,9491,1654,0,0,7176,3360,546,1,12,0,5,3,0.8515926424405563,0.1484073575594437,0.0,0.0,0.6438761776581426,0.3014804845222073,0.04899057873485868,8.972633467922836e-05,0.0010767160161507402,0.0,0.0004486316733961418,0.00026917900403768504
156,156,LA - 2008,LA,2008,25541,22304,3100,125,12,7333,15558,331,4,42,1,2,0,0.8732625973924278,0.12137347793743393,0.004894091852315884,0.0004698328178223249,0.28710700442425896,0.6091382483066442,0.01295955522493246,0.00015661093927410829,0.0016444148623781369,3.915273481852707e-05,7.830546963705414e-05,0.0
167,167,MA - 2008,MA,2008,12546,11922,543,79,2,4508,3085,2839,29,165,0,1,280,0.9502630320420852,0.043280726924916316,0.006296827674159095,0.00015941335883947077,0.3593177108241671,0.2458951060098836,0.22628726287262876,0.0023114937031723263,0.013151602104256336,0.0,7.970667941973538e-05,0.022317870237525902
178,178,MD - 2008,MD,2008,10020,8612,1184,207,17,2553,6814,477,7,19,36,0,27,0.8594810379241516,0.11816367265469062,0.02065868263473054,0.0016966067864271454,0.25479041916167666,0.6800399201596806,0.04760479041916168,0.0006986027944111778,0.0018962075848303396,0.003592814371257485,0.0,0.002694610778443114
189,189,ME - 2008,ME,2008,769,665,104,0,0,580,50,41,1,5,0,0,0,0.8647594278283485,0.1352405721716515,0.0,0.0,0.7542262678803641,0.06501950585175552,0.053315994798439535,0.0013003901170351106,0.006501950585175552,0.0,0.0,0.0
200,200,MI - 2008,MI,2008,11628,10000,1395,204,28,5404,5568,497,20,53,0,1,6,0.8599931200550396,0.11996904024767803,0.017543859649122806,0.002407980736154111,0.4647402820777434,0.478844169246646,0.04274165806673546,0.0017199862401100793,0.00455796353629171,0.0,8.599931200550395e-05,0.0005159958720330237
211,211,MN - 2008,MN,2008,4497,3974,516,6,1,1737,1075,385,237,95,0,2,140,0.8837002446075162,0.11474316210807205,0.00133422281521014,0.00022237046920168998,0.3862575050033356,0.2390482543918168,0.08561263064265065,0.052701801200800535,0.021125194574160552,0.0,0.00044474093840337996,0.0311318656882366
222,222,MO - 2008,MO,2008,6107,5288,751,66,2,1857,3763,210,7,35,3,2,0,0.8658915998035042,0.12297363681021778,0.010807270345505158,0.00032749304077288365,0.3040772883576224,0.6161781562141805,0.034386769281152765,0.0011462256427050926,0.0057311282135254615,0.0004912395611593254,0.00032749304077288365,0.0
233,233,MS - 2008,MS,2008,7520,6856,566,88,3,1974,5186,294,27,39,0,0,0,0.9117021276595744,0.07526595744680853,0.01170212765957447,0.00039893617021276594,0.2625,0.689627659574468,0.039095744680851065,0.0035904255319148936,0.005186170212765957,0.0,0.0,0.0
244,244,MT - 2008,MT,2008,465,409,56,0,0,271,20,42,107,1,0,1,0,0.8795698924731182,0.12043010752688173,0.0,0.0,0.5827956989247312,0.04301075268817205,0.09032258064516127,0.23010752688172045,0.002150537634408602,0.0,0.002150537634408602,0.0
255,255,NC - 2008,NC,2008,10888,9333,1122,398,35,2970,6554,1101,188,17,6,26,8,0.8571822189566495,0.10304922850844966,0.03655400440852315,0.0032145481263776638,0.2727773695811903,0.6019470977222631,0.10112049963262308,0.017266715650257163,0.0015613519470977222,0.0005510653930933138,0.002387950036737693,0.0007347538574577517
266,266,ND - 2008,ND,2008,444,336,53,49,6,210,28,7,198,0,0,1,0,0.7567567567567568,0.11936936936936934,0.11036036036036036,0.013513513513513514,0.472972972972973,0.06306306306306306,0.01576576576576576,0.4459459459459459,0.0,0.0,0.002252252252252252,0.0
277,277,NE - 2008,NE,2008,1993,1720,271,1,1,934,714,279,50,12,0,0,4,0.8630205720020071,0.1359759157049674,0.0005017561465127947,0.0005017561465127947,0.4686402408429503,0.35825388861013546,0.13998996487706974,0.025087807325639738,0.0060210737581535365,0.0,0.0,0.002007024586051179
288,288,NH - 2008,NH,2008,1305,1132,160,12,1,985,143,165,1,6,0,0,2,0.8674329501915709,0.12260536398467432,0.009195402298850576,0.0007662835249042147,0.7547892720306514,0.10957854406130267,0.1264367816091954,0.0007662835249042147,0.004597701149425286,0.0,0.0,0.0015325670498084294
299,299,NJ - 2008,NJ,2008,16037,14388,1628,21,0,3627,8110,3921,66,107,66,19,44,0.897175282160005,0.1015152459936397,0.0013094718463553033,0.0,0.2261644946062231,0.5057055559019766,0.2444971004551973,0.004115482945688097,0.006672070836191308,0.004115482945688097,0.0011847602419405125,0.002743655297125397
310,310,NM - 2008,NM,2008,6550,5920,604,21,5,2069,481,3375,555,18,2,0,15,0.9038167938931296,0.09221374045801528,0.003206106870229008,0.0007633587786259543,0.31587786259541983,0.07343511450381679,0.5152671755725191,0.08473282442748091,0.002748091603053435,0.0003053435114503817,0.0,0.0022900763358778627
321,321,NV - 2008,NV,2008,6327,5266,1023,36,2,2128,1575,1345,70,111,4,0,0,0.8323059902007269,0.16168800379326695,0.005689900426742532,0.000316105579263474,0.3363363363363364,0.24893314366998576,0.21258100205468627,0.01106369527422159,0.017543859649122806,0.000632211158526948,0.0,0.0
332,332,NY - 2008,NY,2008,25027,21898,2133,933,63,5076,13053,6097,66,214,1,138,246,0.8749750269708715,0.08522795380988532,0.03727973788308626,0.0025172813361569505,0.20282095337036,0.5215567187437568,0.2436168937547449,0.0026371518759739482,0.008550765173612498,3.995684660566589e-05,0.005514044831581892,0.009829384264993806
343,343,OH - 2008,OH,2008,15226,12706,2443,74,3,7095,7020,304,6,20,0,9,638,0.8344936293182714,0.1604492315775647,0.004860107710495206,0.00019703139366872456,0.4659792460265336,0.4610534611848154,0.019965847891764088,0.0003940627873374491,0.0013135426244581636,0.0,0.0005910941810061736,0.04190200972021542
354,354,OK - 2008,OK,2008,5482,4663,764,49,6,2260,1633,633,294,13,0,0,36,0.8506019700839108,0.13936519518423932,0.008938343670193359,0.0010944910616563297,0.4122582998905509,0.2978839839474644,0.1154688070047428,0.05363006202116016,0.002371397300255381,0.0,0.0,0.006566946369937978
365,365,OR - 2008,OR,2008,3993,3458,512,23,0,2754,484,649,50,31,8,0,0,0.8660155271725519,0.1282243926872026,0.00576008014024543,0.0,0.6897069872276483,0.12121212121212123,0.16253443526170802,0.01252191334835963,0.00776358627598297,0.0020035061357375405,0.0,0.0
376,376,PA - 2008,PA,2008,33046,28798,3965,265,18,13525,14622,4358,26,253,5,11,170,0.871451915511711,0.11998426435877263,0.008019124856260969,0.0005446952732554621,0.4092779761544514,0.4424741269745204,0.13187677782485022,0.0007867820613690008,0.007655994674090663,0.0001513042425709617,0.00033286933365611566,0.0051443442474126974
387,387,SC - 2008,SC,2008,8813,7797,909,102,5,2792,5420,329,8,7,0,0,0,0.8847157608078974,0.10314308408033587,0.01157381141495518,0.0005673436968115284,0.3168047202995575,0.6150005673436968,0.03733121525019857,0.0009077499148984453,0.0007942811755361397,0.0,0.0,0.0
398,398,SD - 2008,SD,2008,1053,842,211,0,0,495,77,61,401,11,0,3,0,0.7996201329534662,0.2003798670465337,0.0,0.0,0.4700854700854701,0.0731244064577398,0.05792972459639127,0.3808167141500475,0.010446343779677113,0.0,0.0028490028490028487,0.0
409,409,TN - 2008,TN,2008,19629,16758,2744,124,3,8192,10484,893,5,24,4,4,0,0.8537368179734067,0.13979316317693208,0.0063171837587243365,0.0001528350909368791,0.4173416883183045,0.5341076977940802,0.04549391206887768,0.00025472515156146517,0.0012226807274950328,0.0002037801212491721,0.0002037801212491721,0.0
420,420,TX - 2008,TX,2008,56835,48254,7858,661,62,18794,17575,17235,15,159,2,17,17,0.8490190903492566,0.1382598750769772,0.011630157473387878,0.001090877100378288,0.33067651975015394,0.3092284683733615,0.3032462391132225,0.0002639218791237794,0.002797571918712061,3.5189583883170584e-05,0.00029911146300695,0.00029911146300695
431,431,UT - 2008,UT,2008,4697,3978,719,0,0,2844,269,1223,188,71,51,0,0,0.8469235682350437,0.15307643176495636,0.0,0.0,0.6054928677879498,0.057270598254204816,0.2603789652969981,0.04002554822226954,0.015116031509474132,0.010857994464551842,0.0,0.0
442,442,VA - 2008,VA,2008,26696,23106,3332,254,4,9643,13918,2235,17,126,2,23,17,0.865522924782739,0.12481270602337427,0.009514534012586156,0.00014983518130056938,0.3612151633203477,0.5213515133353311,0.08372040755169312,0.0006367995205274197,0.004719808210967936,7.491759065028469e-05,0.0008615522924782738,0.0006367995205274197
453,453,WA - 2008,WA,2008,11314,9671,1611,31,1,7070,1999,1252,565,289,17,0,58,0.8547816864062224,0.14238995934240764,0.0027399681810146717,8.838607035531201e-05,0.6248895174120559,0.1766837546402687,0.11065936008485062,0.04993812975075128,0.025543574332685167,0.001502563196040304,0.0,0.005126392080608096
464,464,WI - 2008,WI,2008,9835,8541,1092,195,7,4612,4073,774,221,94,0,0,52,0.8684290798169801,0.1110320284697509,0.019827147941026944,0.0007117437722419928,0.4689374682257245,0.41413319776309104,0.07869852567361464,0.022470767666497204,0.009557702084392477,0.0,0.0,0.005287239450940518
475,475,WV - 2008,WV,2008,3907,3420,487,0,0,3139,649,75,1,0,0,40,3,0.8753519324289737,0.12464806757102635,0.0,0.0,0.8034297414896341,0.1661121064755567,0.01919631430765293,0.0002559508574353724,0.0,0.0,0.010238034297414895,0.0007678525723061173
486,486,WY - 2008,WY,2008,767,655,112,0,0,594,36,103,29,2,2,0,0,0.8539765319426337,0.14602346805736635,0.0,0.0,0.7744458930899609,0.0469361147327249,0.13428943937418514,0.037809647979139514,0.0026075619295958283,0.0026075619295958283,0.0,0.0
