key,state,year,confined_population,adult_male,pct_adult_male,adult_female,pct_adult_female,juvenile_male,pct_juvenile_male,juvenile_female,pct_juvenile_female,white_population,pct_white,black_population,pct_black,hispanic_population,pct_hispanic,native_american_population,pct_native_american,asian_population,pct_asian,native_hawaiian_pacific_islander_population,pct_native_hawaiian_pacific_islander,two_or_more_race_population,pct_two_or_more_races,other_population,pct_other
Maryland - 2011,Maryland,2011,9070,8019,0.8841234840132304,895,0.09867695700110253,148,0.01631753031973539,8,0.0008820286659316428,2367,0.2609702315325248,6088,0.6712238147739802,419,0.04619625137816979,3,0.000330760749724366,19,0.0020948180815876516,0,0.0,0,0.0,99,0.01091510474090408
Maryland - 2012,Maryland,2012,7949,7081,0.8908038747012202,765,0.09623852056862499,95,0.011951188828783495,8,0.0010064159013712416,2193,0.2758837589633916,5464,0.687382060636558,87,0.010944772927412253,3,0.0003774059630142156,8,0.0010064159013712416,0,0.0,0,0.0,129,0.01622845640961127
Maryland - 2013,Maryland,2013,8504,6949,0.8171448730009407,754,0.08866415804327375,98,0.011523988711194732,3,0.0003527751646284102,1760,0.20696142991533395,5380,0.6326434619002822,61,0.007173095014111007,8,0.0009407337723424271,4,0.00047036688617121356,0,0.0,1,0.00011759172154280339,117,0.013758231420507996
Maryland - 2014,Maryland,2014,7338,6517,0.8881166530389752,747,0.1017988552739166,70,0.009539384028345598,4,0.0005451076587626056,1996,0.2720087217225402,5094,0.6941946034341783,68,0.009266830198964295,5,0.000681384573453257,15,0.002044153720359771,0,0.0,0,0.0,87,0.011856091578086671
Maryland - 2015,Maryland,2015,7610,6770,0.8896189224704336,772,0.10144546649145861,65,0.008541392904073587,3,0.00039421813403416555,2492,0.32746386333771355,4443,0.5838370565045992,469,0.06162943495400788,4,0.0005256241787122207,50,0.006570302233902759,2,0.00026281208935611036,0,0.0,65,0.008541392904073587
Maryland - 2016,Maryland,2016,6526,5741,0.8797119215445909,741,0.11354581673306773,43,0.006589028501379099,1,0.00015323322096230462,2093,0.3207171314741036,3702,0.5672693840024517,182,0.027888446215139442,6,0.0009193993257738277,44,0.006742261722341404,0,0.0,2,0.00030646644192460924,0,0.0
Maryland - 2017,Maryland,2017,7327,6390,0.872116828169783,887,0.12105909649242527,50,0.006824075337791729,0,0.0,2423,0.3306946908693872,4422,0.6035212228743005,336,0.04585778626996042,7,0.0009553705472908421,33,0.004503889722942541,0,0.0,8,0.0010918520540466768,78,0.010645557526955098
Maryland - 2018,Maryland,2018,7579,6666,0.8795355587808418,831,0.10964507190922285,76,0.010027708140915689,6,0.0007916611690196596,2046,0.26995645863570394,4711,0.6215859612086028,629,0.08299247921889431,10,0.0013194352816994325,38,0.005013854070457844,3,0.0003958305845098298,1,0.00013194352816994325,0,0.0
Massachusetts - 2008,Massachusetts,2008,12546,11922,0.9502630320420852,543,0.04328072692491631,79,0.0062968276741590945,2,0.00015941335883947074,4508,0.3593177108241671,3085,0.24589510600988362,2839,0.22628726287262874,29,0.002311493703172326,165,0.013151602104256336,0,0.0,1,7.970667941973537e-05,280,0.022317870237525905
Massachusetts - 2009,Massachusetts,2009,11532,10977,0.9518730489073881,502,0.04353104405133541,52,0.004509191814082553,1,8.671522719389525e-05,3557,0.3084460631286854,2757,0.2390738813735692,2116,0.18348942074228233,8,0.000693721817551162,141,0.01222684703433923,4,0.000346860908775581,38,0.0032951786333680192,223,0.01933749566423864
